"X_uuid","region","district","settlement","X_observation_gps_longitude","X_observation_gps_latitude"
"4f747304-ac97-47a1-a41d-3f17694a89f7","Middle Shabelle","Jowhar","NA-3807-F12-005","45.51099807744908","2.7713338124213043"
"64d21bb2-e144-4b00-829c-e4eed42a62d5","Middle Shabelle","Jowhar","NA-3807-F12-005","45.51125429389874","2.7722737688592938"
"c881af89-68f1-4dae-ba73-bd70066905ae","Middle Shabelle","Jowhar","NA-3807-F12-009","45.50158894061849","2.7788424682716397"
"88916cec-2869-4bc4-bbbf-e91374e49206","Middle Shabelle","Jowhar","NA-3807-F12-005","45.501408219429806","2.7784806457180258"
"ae9a675b-f4cc-494b-9a09-e54a0b92b06f","Middle Shabelle","Jowhar","NA-3807-F12-009","45.50094263341728","2.7770644379106657"
"6ce66468-43d0-4a19-9e0e-06fc162e4ef7","Middle Shabelle","Jowhar","NA-3807-F12-005","45.50096422213507","2.7769953592371883"
"55748559-4c65-41de-b78b-d04504ac3847","Middle Shabelle","Jowhar","NA-3807-F12-009","45.50075057311734","2.777346349095983"
"1aaf139f-6707-4ccc-a68b-029af0d844f2","Bari","Bossaso","NC-3901-T27-002","49.1785685","11.2812327"
"775364fa-be65-4473-be72-b4d48122086c","Gedo","Belet Xaawo","other","41.874091666666665","3.9225133333333333"
"185f7e27-fccf-449d-969b-9ae03dc8013a","Gedo","Belet Xaawo","other","41.875555","3.922841666666667"
"0bbdc19a-66eb-4796-a733-ef7f17c1c986","Gedo","Belet Xaawo","other","41.877469999999995","3.9238516666666667"
"4ceccf82-c132-4ebc-aea2-62befb1e4669","Gedo","Belet Xaawo","other","41.877021666666664","3.9242383333333333"
"3dcfdf64-f330-4694-bb87-c346b594785e","Gedo","Belet Xaawo","other","41.877291666666665","3.923845"
"0ca4d2a8-a4b4-4049-b331-d5c36a688414","Gedo","Belet Xaawo","NA-3704-F31-001","41.88415166666667","3.9164133333333333"
"13bc60c0-ceee-43ec-b8ed-31f4fbbce93c","Gedo","Belet Xaawo","NA-3704-F31-001","41.88307499999999","3.9168116666666664"
"8d2afa76-fcc9-4922-9802-3a726352823d","Gedo","Belet Xaawo","NA-3704-F31-001","41.88429333333333","3.9167183333333337"
"375abb96-01f5-4988-bc89-10337b7cf5a4","Gedo","Belet Xaawo","NA-3704-F31-001","41.88437999999999","3.9164616666666667"
"b6f4878a-6eb7-4a86-b209-94bfde828bcc","Gedo","Belet Xaawo","NA-3704-F31-001","41.88519833333333","3.917543333333333"
"3c7d4a2b-bca2-4bec-85bb-ea06eb5b6a82","Gedo","Belet Xaawo","NA-3704-F31-001","41.877224999999996","3.9242616666666663"
"3e9f1d62-2468-48f1-bd7f-cb729f09f459","Gedo","Belet Xaawo","NA-3704-F31-001","41.876909999999995","3.9236066666666667"
"b9a4232b-d915-4b7b-ab79-77cff0f7c323","Gedo","Belet Xaawo","NA-3704-F31-001","41.886925000000005","3.9147033333333336"
"162b18fe-3373-4c99-8190-23ebdd0a16bf","Gedo","Belet Xaawo","NA-3704-F31-001","41.88674833333333","3.9144233333333336"
"b7575faa-c011-4dfc-b42b-105f6ddf4042","Gedo","Belet Xaawo","NA-3704-F31-001","41.88745166666666","3.914938333333333"
"7994682f-f8fa-4791-a876-3af697570a74","Gedo","Belet Xaawo","NA-3704-F31-001","41.882866666666665","3.91652"
"3ca0c054-a470-4014-a989-630ff81c7b3a","Gedo","Doolow","NA-3704-B31-001","42.06312688","4.14475352"
"b317d6d6-8267-426b-9dfe-983cb55ddb54","Gedo","Doolow","NA-3704-B31-001","42.06424385","4.14464546"
"4ebf69c6-a393-4f23-b95f-756a87ca4d1c","Gedo","Doolow","NA-3704-B31-001","42.06476942","4.14314658"
"a4367813-2d7d-45c6-8b5a-bd78ef5a5a00","Gedo","Doolow","NA-3704-B31-001","42.06394916","4.14318384"
"c94efb4f-86b6-4c2e-8545-ed19aeb5542f","Gedo","Doolow","NA-3704-B31-001","42.06339427","4.14358161"
"9706ed91-58e6-4549-b123-81d254500c96","Gedo","Doolow","NA-3704-B31-001","42.06286865","4.14399955"
"a890bb22-a406-4451-bd53-4fa496c84b86","Gedo","Doolow","NA-3704-B31-001","42.06316479","4.14516875"
"37961537-1a15-4a24-ad58-5ea778140d9b","Gedo","Doolow","NA-3704-B31-001","42.0638259","4.14546814"
"14fe1ab6-fd0c-4fd2-ac2a-11a4d502e1fa","Gedo","Doolow","NB-3813-W02-001","42.062665","4.14573684"
"8d377b92-51a0-4ee3-9bc2-e741262f8e54","Gedo","Doolow","NA-3704-B31-001","42.06518","4.14321416"
"bfc89ac1-4a9a-4779-8c7e-720d9456fd57","Gedo","Doolow","NA-3704-B31-001","42.06509014","4.14239675"
"4f43a31b-3413-4a82-93cf-b1872cef3180","Gedo","Doolow","NA-3704-B31-001","42.0648638","4.14160185"
"4012746c-80fe-4940-88b0-447aa2ed3d51","Gedo","Doolow","NA-3704-B31-001","42.06405883","4.14142791"
"3666d6cf-e86e-4845-b1ef-2e45a4698c72","Gedo","Doolow","NA-3704-B31-001","42.06280351","4.14275377"
"ae83307f-6c3e-48b2-b00e-d3f88e691224","Gedo","Doolow","NA-3704-B31-001","42.06334847","4.14381557"
